__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1779288971.903163,0.044884751,0.374416250,0.000000000,,,,,
1779288971.904110,0.044884751,0.374416250,0.000000000,,,,,
1779288971.904148,,,,1779288971.903966427,0.751628546,-0.011419604,-1.064556690,-0.094074680
1779288971.904885,0.044823132,0.373900062,0.000000000,,,,,
1779288971.904920,,,,1779288971.904820681,0.751618798,-0.011381212,-1.064636993,-0.093754426
1779288971.905817,0.044791058,0.373631370,0.000000000,,,,,
1779288971.905962,,,,1779288971.905750036,0.751608142,-0.011339119,-1.064724771,-0.093403297
1779288971.906784,,,,1779288971.906683683,0.751597647,-0.011297537,-1.064811215,-0.093056436
1779288971.906828,0.044762414,0.373391419,0.000000000,,,,,
1779288971.907634,0.044730977,0.373128068,0.000000000,,,,,
1779288971.907702,,,,1779288971.907552242,0.751587734,-0.011258149,-1.064892868,-0.092727875
1779288971.908590,,,,1779288971.908547401,0.751576958,-0.011215200,-1.064981618,-0.092369616
1779288971.908609,0.044699890,0.372867652,0.000000000,,,,,
1779288971.909504,0.044670415,0.372620743,0.000000000,,,,,
1779288971.909534,,,,1779288971.909471750,0.751566236,-0.011172332,-1.065069917,-0.092012032
1779288971.910428,,,,1779288971.910332203,0.751556878,-0.011134814,-1.065146990,-0.091699073
1779288971.910474,0.044638242,0.372351234,0.000000000,,,,,
1779288971.911294,0.044638242,0.372351234,0.000000000,,,,,
1779288971.911437,,,,1779288971.911242247,0.751546742,-0.011094033,-1.065230455,-0.091358893
1779288971.912253,0.044577936,0.371846063,0.000000000,,,,,
1779288971.912330,,,,1779288971.912187815,0.751536180,-0.011051427,-1.065317432,-0.091003501
1779288971.913226,0.044547291,0.371589348,0.000000000,,,,,
1779288971.913291,,,,1779288971.913102150,0.751526234,-0.011011189,-1.065399329,-0.090667859
1779288971.914098,0.044547291,0.371589348,0.000000000,,,,,
1779288971.914168,,,,1779288971.914034128,0.751515923,-0.010969316,-1.065484226,-0.090318573
1779288971.915034,,,,1779288971.914948225,0.751506071,-0.010929216,-1.065565341,-0.089984081
1779288971.915065,0.044484956,0.371067188,0.000000000,,,,,
1779288971.915982,,,,1779288971.915863991,0.751496257,-0.010889125,-1.065646136,-0.089649665
1779288971.916030,0.044484956,0.371067188,0.000000000,,,,,
1779288971.916858,0.044453393,0.370802799,0.000000000,,,,,
1779288971.916983,,,,1779288971.916762114,0.751486527,-0.010849256,-1.065726241,-0.089317104
1779288971.917733,,,,1779288971.917647123,0.751476694,-0.010808871,-1.065807188,-0.088980241
1779288971.917777,0.044392867,0.370295800,0.000000000,,,,,
1779288971.918688,0.044362729,0.370043345,0.000000000,,,,,
1779288971.918833,,,,1779288971.918619633,0.751466507,-0.010766899,-1.065891041,-0.088630140
1779288971.919551,0.044332177,0.369787429,0.000000000,,,,,
1779288971.919617,,,,1779288971.919481516,0.751456906,-0.010727220,-1.065970073,-0.088299162
1779288971.920625,,,,1779288971.920470715,0.751446091,-0.010682368,-1.066059092,-0.087925047
1779288971.920628,0.044300392,0.369521181,0.000000000,,,,,
1779288971.921390,0.044270314,0.369269235,0.000000000,,,,,
1779288971.921419,,,,1779288971.921343803,0.751437074,-0.010644870,-1.066133302,-0.087612265
1779288971.922414,0.044270314,0.369269235,0.000000000,,,,,
1779288971.922487,,,,1779288971.922294855,0.751427189,-0.010603599,-1.066214657,-0.087268016
1779288971.923171,0.044207796,0.368745567,0.000000000,,,,,
1779288971.923307,,,,1779288971.923139334,0.751418014,-0.010565207,-1.066290168,-0.086947773
1779288971.924197,,,,1779288971.924090147,0.751407933,-0.010522855,-1.066373126,-0.086594515
1779288971.924238,0.044207796,0.368745567,0.000000000,,,,,
1779288971.925112,,,,1779288971.925007582,0.751398211,-0.010481912,-1.066453119,-0.086253000
1779288971.925151,0.044147193,0.368237941,0.000000000,,,,,
1779288971.926054,,,,1779288971.925971031,0.751388195,-0.010439588,-1.066535533,-0.085899967
1779288971.926096,0.044114923,0.367967640,0.000000000,,,,,
1779288971.926927,0.044083701,0.367706119,0.000000000,,,,,
1779288971.926985,,,,1779288971.926868916,0.751378949,-0.010400393,-1.066611615,-0.085573042
1779288971.927750,0.044051392,0.367435500,0.000000000,,,,,
1779288971.927844,,,,1779288971.927709818,0.751370203,-0.010363217,-1.066683570,-0.085262957
1779288971.928722,0.044021444,0.367184657,0.000000000,,,,,
1779288971.928807,,,,1779288971.928666592,0.751360358,-0.010321228,-1.066764564,-0.084912719
1779288971.929648,,,,1779288971.929557085,0.751351137,-0.010281746,-1.066840424,-0.084583401
1779288971.929666,0.044021444,0.367184657,0.000000000,,,,,
1779288971.930593,,,,1779288971.930499792,0.751341715,-0.010241303,-1.066917928,-0.084246069
1779288971.930637,0.043960870,0.366677282,0.000000000,,,,,
1779288971.931695,0.043930609,0.366423825,0.000000000,,,,,
1779288971.931819,,,,1779288971.931518793,0.751331653,-0.010197958,-1.067000695,-0.083884526
1779288971.932407,0.043899588,0.366163997,0.000000000,,,,,
1779288971.932472,,,,1779288971.932338715,0.751323123,-0.010161105,-1.067070858,-0.083577134
1779288971.933306,0.043866305,0.365885221,0.000000000,,,,,
1779288971.933371,,,,1779288971.933236599,0.751313893,-0.010121103,-1.067146767,-0.083243483
1779288971.934191,0.043837982,0.365647992,0.000000000,,,,,
1779288971.934294,,,,1779288971.934150219,0.751304623,-0.010080791,-1.067223007,-0.082907244
1779288971.935224,0.043807210,0.365390251,0.000000000,,,,,
1779288971.935299,,,,1779288971.935153008,0.751294706,-0.010037508,-1.067304564,-0.082546230
1779288971.936046,0.043807210,0.365390251,0.000000000,,,,,
1779288971.936136,,,,1779288971.935986996,0.751286287,-0.010000629,-1.067373796,-0.082238630
1779288971.937074,,,,1779288971.937012911,0.751276068,-0.009955730,-1.067457825,-0.081864131
1779288971.937116,0.043742802,0.364850794,0.000000000,,,,,
1779288971.937923,0.043714343,0.364612426,0.000000000,,,,,
1779288971.937991,,,,1779288971.937803507,0.751268073,-0.009920498,-1.067523566,-0.081570272
1779288971.938780,0.043679662,0.364321956,0.000000000,,,,,
1779288971.938886,,,,1779288971.938729763,0.751259043,-0.009880583,-1.067597803,-0.081237347
1779288971.939763,,,,1779288971.939643621,0.751249907,-0.009840054,-1.067672913,-0.080899305
1779288971.939805,0.043652426,0.364093838,0.000000000,,,,,
1779288971.940653,0.043652426,0.364093838,0.000000000,,,,,
1779288971.940732,,,,1779288971.940561056,0.751241054,-0.009800618,-1.067745701,-0.080570381
1779288971.941571,0.043590147,0.363572218,0.000000000,,,,,
1779288971.941636,,,,1779288971.941503286,0.751232044,-0.009760381,-1.067819765,-0.080234771
1779288971.942541,0.043559565,0.363316082,0.000000000,,,,,
1779288971.942604,,,,1779288971.942477465,0.751222371,-0.009717017,-1.067899279,-0.079873088
1779288971.943518,,,,1779288971.943399906,0.751213782,-0.009678389,-1.067969875,-0.079550903
1779288971.943537,0.043528337,0.363054536,0.000000000,,,,,
1779288971.944362,,,,1779288971.944255829,0.751205066,-0.009639061,-1.068041508,-0.079222886
1779288971.944402,0.043494646,0.362772367,0.000000000,,,,,
1779288971.945194,0.043464607,0.362520778,0.000000000,,,,,
1779288971.945300,,,,1779288971.945158958,0.751196517,-0.009600356,-1.068111767,-0.078900067
1779288971.946153,0.043433995,0.362264394,0.000000000,,,,,
1779288971.946289,,,,1779288971.946080446,0.751187891,-0.009561171,-1.068182654,-0.078573239
1779288971.947097,0.043403839,0.362011834,0.000000000,,,,,
1779288971.947149,,,,1779288971.947035313,0.751178851,-0.009519954,-1.068256943,-0.078229464
1779288971.948067,,,,1779288971.947955608,0.751170058,-0.009479693,-1.068329196,-0.077893668
1779288971.948109,0.043403839,0.362011834,0.000000000,,,,,
1779288971.948885,0.043341103,0.361486407,0.000000000,,,,,
1779288971.949022,,,,1779288971.948844671,0.751161644,-0.009441069,-1.068398326,-0.077571520
