__time,/desired_joint_accelerations/data[0],/desired_joint_accelerations/data[1],/desired_joint_accelerations/layout/data_offset,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781155891.443465,,,,-0.045811435,-0.023386471,0.000000000,,,,,
1781155891.443655,,,,,,,1781155891.443476915,0.951614056,0.034204602,-0.707450492,0.013998450
1781155891.444206,-0.046207592,-0.023103796,0.000000000,,,,,,,,
1781155891.444340,,,,-0.045864351,-0.023379688,0.000000000,,,,,
1781155891.444346,,,,,,,1781155891.444212914,0.951642294,0.034166696,-0.707438938,0.013979126
1781155891.445242,-0.046240317,-0.023120158,0.000000000,,,,,,,,
1781155891.445330,,,,-0.045924641,-0.023365390,0.000000000,,,,,
1781155891.445336,,,,,,,1781155891.445199013,0.951675890,0.034121479,-0.707425197,0.013956121
1781155891.446271,,,,-0.045909784,-0.023434619,0.000000000,,,,,
1781155891.446275,,,,,,,1781155891.446133614,0.951706785,0.034079860,-0.707412565,0.013934877
1781155891.446278,-0.046273042,-0.023136521,0.000000000,,,,,,,,
1781155891.447196,,,,-0.045966656,-0.023423288,0.000000000,,,,,
1781155891.447243,,,,,,,1781155891.447075605,0.951739010,0.034036339,-0.707399392,0.013912700
1781155891.447274,-0.046305767,-0.023152883,0.000000000,,,,,,,,
1781155891.448058,,,,-0.045987500,-0.023452793,0.000000000,,,,,
1781155891.448087,,,,,,,1781155891.447963476,0.951769149,0.033995568,-0.707387076,0.013891907
1781155891.448294,-0.046338492,-0.023169246,0.000000000,,,,,,,,
1781155891.448968,,,,-0.046038763,-0.023448190,0.000000000,,,,,
1781155891.449122,,,,,,,1781155891.448923826,0.951799772,0.033954047,-0.707374567,0.013870760
1781155891.449528,-0.046371217,-0.023185608,0.000000000,,,,,,,,
1781155891.449915,,,,-0.046067145,-0.023469277,0.000000000,,,,,
1781155891.449928,,,,,,,1781155891.449817419,0.951832058,0.033910187,-0.707361382,0.013848415
1781155891.450444,-0.046403941,-0.023201971,0.000000000,,,,,,,,
1781155891.450724,,,,-0.046371217,-0.023185608,0.000000000,,,,,
1781155891.450883,,,,,,,1781155891.450663090,0.951860727,0.033870936,-0.707349676,0.013828790
1781155891.451307,-0.046436666,-0.023218333,0.000000000,,,,,,,,
1781155891.451643,,,,-0.046116158,-0.023470014,0.000000000,,,,,
1781155891.451776,,,,,,,1781155891.451588869,0.951891615,0.033828829,-0.707337069,0.013807360
1781155891.452291,-0.046469391,-0.023234696,0.000000000,,,,,,,,
